position,artist,title,year,youtube_link,spotify_link,base_year
39,Anne Marie David,Tu Te ReconnaÃ®tras,1973,https://www.youtube.com/watch?v=zn1svLVprUk,https://open.spotify.com/track/3682WlWtLmx44QNpB6Py4X,2021
40,Secret Garden,Nocturne,1995,https://www.youtube.com/watch?v=y5beWOIecS4,https://open.spotify.com/track/6bk11TH82XrT5QUC1gDw9A,2021
41,LoÃ¯c Nottet,Rhythm Inside,2015,https://www.youtube.com/watch?v=G48p8eNhnd8,https://open.spotify.com/track/3O2MsMZHCgSbRGEca5ML1N,2021
42,Dana International,Diva,1998,https://www.youtube.com/watch?v=Fv83u7-mNWQ,https://open.spotify.com/track/0holXF210D5UdrOBW4vVx8,2021
43,Cliff Richard,Congratulations,1968,https://www.youtube.com/watch?v=_xJcE9tnY6E,https://open.spotify.com/track/1ZfbMOw5VSh5Qqr8hgLCkJ,2021
44,Imaani,Where Are You,1998,https://www.youtube.com/watch?v=CdkeNU9_eWI,https://open.spotify.com/track/2mVb66T6cEff18dh2EoGAb,2021
45,Maxine & Franklin Brown,De Eerste Keer,1996,https://www.youtube.com/watch?v=XVctJaMxDb8,https://open.spotify.com/track/16tt5gsCest1TGUDsbjxed,2021
46,O'G3ne,Lights And Shadows,2017,https://www.youtube.com/watch?v=H8nj5ZD5Fy8,https://open.spotify.com/track/2mRpKDnxoLXVk6dKXHDP2k,2021
47,Heddy Lester,De Mallemolen,1977,https://www.youtube.com/watch?v=wYjA2_2p0Ew,https://open.spotify.com/track/0ix6CRJE6kCRFnxwnnndsu,2021
48,Mouth & MacNeal,I See A Star,1974,https://www.youtube.com/watch?v=8YeKTR7OFWs,https://open.spotify.com/track/7qsXX1PCCCsGusfjU7gTFu,2021
49,Maggie MacNeal,Amsterdam,1980,https://www.youtube.com/watch?v=rsQtDZfM0Qk,https://open.spotify.com/track/57a7RnAVNp4WEGiNxhr43b,2021
50,Waylon,Outlaw In 'Em,2018,https://www.youtube.com/watch?v=hsm98vYn4DI,https://open.spotify.com/track/0m6XwawoTidSRrSCQVnaYf,2021
1,ABBA (BjÃ¶rn & Benny & Anna & Frida),Waterloo,1974,https://www.youtube.com/watch?v=Sj_9CiNkkn4,https://open.spotify.com/track/3Dy4REq8O09IlgiwuHQ3sk,2022
2,Duncan Laurence,Arcade,2019,https://www.youtube.com/watch?v=Eztx7Wr8PtE,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD,2022
3,Common Linnets,Calm After The Storm,2014,https://www.youtube.com/watch?v=hkrF8uC92O4,https://open.spotify.com/track/3mWdxSsbIK45Brors2XWR1,2022
4,Loreen,Euphoria,2012,https://www.youtube.com/watch?v=bcnWysA9gxo,https://open.spotify.com/track/2knr7ikPt4l7bk92qS4ZXW,2022
5,Anouk,Birds,2013,https://www.youtube.com/watch?v=WMTggnBEtt4,https://open.spotify.com/track/6uPVcR5TJzmTE0nFUWgNMz,2022
6,Teach-In,Ding-A-Dong,1975,https://www.youtube.com/watch?v=5zNVRMabSTU,https://open.spotify.com/track/2dZ5FvhW12NB8mQPhdBu7U,2022
7,Johnny Logan,What's Another Year,1980,https://www.youtube.com/watch?v=-b3XTj5G_SA,https://open.spotify.com/track/51hipIpHYmj2Qh2tyQ32h6,2022
8,Barbara Pravi,VoilÃ,2021,https://www.youtube.com/watch?v=VJuD7AnV-uw,https://open.spotify.com/track/1uAOCTevGnyKIDbgZdOCnE,2022
9,Mocedades,Eres Tu,1973,https://www.youtube.com/watch?v=naAC37W42ro,https://open.spotify.com/track/08HeIb9BidFjKROf9ptln0,2022
10,Johnny Logan,Hold Me Now,1987,https://www.youtube.com/watch?v=TReAKhrTqKY,https://open.spotify.com/track/7KG1uA3O9cqahhVt5atWnB,2022
11,Sandra Kim,J'aime La Vie,1986,https://www.youtube.com/watch?v=F5U5bgEZRys,https://open.spotify.com/track/0Kr57gzJjexm8TF0l0JPLD,2022
12,Vicky Leandros,AprÃ¨s Toi,1972,https://www.youtube.com/watch?v=Ka89ORFu_Tc,https://open.spotify.com/track/13tx9je0ftBgu6BKpsQDo4,2022
13,Brotherhood Of Man,Save Your Kisses For Me,1976,https://www.youtube.com/watch?v=6OW1JJwqVRQ,https://open.spotify.com/track/3Egto4BiPhrim1EdRERwht,2022
14,Lenny Kuhr,De Troubadour,1969,https://www.youtube.com/watch?v=7NDkJsPdLN8,https://open.spotify.com/track/2KCMlWqxxevzBWAsxRPXjH,2022
15,Nicole,Ein Bisschen Frieden,1982,https://www.youtube.com/watch?v=W9S3YMmIFdw,https://open.spotify.com/track/7JZHsMxhcaRKug5kA0DmDE,2022
