artist,title,year,base_year,youtube_link
Kids,There Will Be No Next Time,1981,2016,https://www.youtube.com/watch?v=mBNZeRX5mbA
Tracy Chapman,Fast Car,1988,2016,https://www.youtube.com/watch?v=AIOAlaACuv4
Patti Smith Group,Frederick,1979,2016,https://www.youtube.com/watch?v=a-befOtn9GQ
U2,Beautiful Day,2000,2016,https://www.youtube.com/watch?v=co6WMzDOh1o
Portishead,Glory Box,1995,2016,https://www.youtube.com/watch?v=4qQyUi4zfDs&pp=0gcJCf8Ao7VqN5tD
Bob Dylan,I Want You,1966,2016,https://www.youtube.com/watch?v=-iIS6ZZ9RVA
Bruce Springsteen,Born In The U.S.A.,1985,2016,https://www.youtube.com/watch?v=EPhWR4d3FJQ
Elvis Presley,(You're The) Devil In Disguise,1963,2016,https://www.youtube.com/watch?v=emjLXdsj6xA
Jacques Brel,Voir Un Ami Pleurer,1977,2016,https://www.youtube.com/watch?v=D2oM6RhKPkE&pp=0gcJCf8Ao7VqN5tD
Simple Minds,New Gold Dream (81-82-83-84),1982,2016,https://www.youtube.com/watch?v=N85mtGZ9JkY
Buena Vista Social Club,Chan Chan,1997,2016,https://www.youtube.com/watch?v=tGbRZ73NvlY
AC/DC,Thunderstruck,1990,2016,https://www.youtube.com/watch?v=v2AC41dglnM
Leonard Cohen,Bird On The Wire,1969,2016,https://www.youtube.com/watch?v=BGvwvxA83Cs
Noir Désir,Le Vent Nous Portera,2001,2016,https://www.youtube.com/watch?v=NrgcRvBJYBE
Velvet Underground,Heroin,1966,2016,https://www.youtube.com/watch?v=yN-EZW0Plsg
Van Morrison,Have I Told You Lately,1989,2016,https://www.youtube.com/watch?v=J789GId1kaY
Liesbeth List & Ramses Shaffy,Pastorale,1969,2016,https://www.youtube.com/watch?v=XAGgTcXtQLU
Beatles,Something,1969,2016,https://www.youtube.com/watch?v=UelDrZ1aFeY
Aretha Franklin,Think,1968,2016,https://www.youtube.com/watch?v=Vet6AHmq3_s
Oasis,Don't Look Back In Anger,1995,2016,https://www.youtube.com/watch?v=r8OipmKFDeM
Who,My Generation,1965,2016,https://www.youtube.com/watch?v=qN5zw04WxCc&pp=0gcJCfwAo7VqN5tD
Dire Straits,Romeo And Juliet,1980,2016,https://www.youtube.com/watch?v=rC95MEenIxA
David Bowie,Golden Years,1975,2016,https://www.youtube.com/watch?v=HRD0ghlFSgk&pp=0gcJCfwAo7VqN5tD
Neil Young,Harvest Moon,1992,2016,https://www.youtube.com/watch?v=n2MtEsrcTTs
Absynthe Minded,"My Heroics, Part One",2005,2016,https://www.youtube.com/watch?v=8IXj3QAX_14
Johnny Cash,Ring Of Fire,1963,2016,https://www.youtube.com/watch?v=5WyLhwYFgmk
Lou Reed,Sweet Jane (Live),1973,2016,https://www.youtube.com/watch?v=7FdWPeHFAMk
Jacques Brel,Marieke,1961,2016,https://www.youtube.com/watch?v=wfGDpzL9H7Y
Coldplay,Fix You,2005,2016,https://www.youtube.com/watch?v=k4V3Mo61fJM&pp=0gcJCfwAo7VqN5tD
National,Bloodbuzz Ohio,2010,2016,https://www.youtube.com/watch?v=yfySK7CLEEg
Nina Simone,Ain't Got No... I Got Life,1968,2016,https://www.youtube.com/watch?v=L5jI9I03q8E
Bob Dylan,Sara,1975,2016,https://www.youtube.com/watch?v=Ma7BK2MJNqo&pp=0gcJCdgAo7VqN5tD
Suede,Animal Nitrate,1993,2016,https://www.youtube.com/watch?v=i7mEB2wnDLQ
Queen,You're My Best Friend,1975,2016,https://www.youtube.com/watch?v=HaZpZQG2z10
Will Tura,Eenzaam Zonder Jou,1962,2016,https://www.youtube.com/watch?v=eIwwP67eyos
White Stripes,7 Nation Army,2002,2016,https://www.youtube.com/watch?v=0J2QdDbelmY
Jan De Wilde,De Fanfare Van Honger En Dorst,1990,2016,https://www.youtube.com/watch?v=s3qwHnS8a78
Massive Attack,Tear Drop,1998,2016,https://www.youtube.com/watch?v=u7K72X4eo_s
David Bowie,China Girl,1983,2016,https://www.youtube.com/watch?v=_YC3sTbAPcU
Bruce Springsteen,Jungleland,1975,2016,https://www.youtube.com/watch?v=lW1RAYYs8RI
David Bowie,Five Years,1972,2016,https://www.youtube.com/watch?v=8gPSGrpIlkc&pp=0gcJCfwAo7VqN5tD
Electric Light Orchestra,Mr. Blue Sky,1978,2016,https://www.youtube.com/watch?v=aQUlA8Hcv4s
Tom Waits,Jersey Girl,1980,2016,https://www.youtube.com/watch?v=XBQPchkmGCo
Scene,Blauw,1991,2016,https://www.youtube.com/watch?v=ehGfqH8UxV8
Leonard Cohen,Dance Me To The End Of Love,1984,2016,https://www.youtube.com/watch?v=NGorjBVag0I
ABBA,"Knowing Me, Knowing You",1976,2016,https://www.youtube.com/watch?v=iUrzicaiRLU
Nits,In The Dutch Mountains,1987,2016,https://www.youtube.com/watch?v=tPyiZI_WrXw
Pink Floyd,Time,1973,2016,https://www.youtube.com/watch?v=Qr0-7Ds79zo
Editors,No Sound But The Wind (Live At Rock Werchter 2010),2010,2016,https://www.youtube.com/watch?v=XXUCFk8VJFY
Cranberries,Zombie,1994,2016,https://www.youtube.com/watch?v=6Ejga4kJUts
Scabs,Hard Times,1990,2016,https://www.youtube.com/watch?v=7hBVsBdfwro
Joan Armatrading,Love And Affection,1976,2016,https://www.youtube.com/watch?v=sBohO1zr7jw
Undertones,Teenage Kicks,1978,2016,https://www.youtube.com/watch?v=PinCg7IGqHg
Kris De Bruyne,Amsterdam,1975,2016,https://www.youtube.com/watch?v=FyKYDg0TyRM
Coldplay,Viva La Vida,2008,2016,https://www.youtube.com/watch?v=dvgZkm1xWPE
Adamo,Tombe La Neige,1963,2016,https://www.youtube.com/watch?v=oNLmwz8A9_I
Creedence Clearwater Revival,Bad Moon Rising,1968,2016,https://www.youtube.com/watch?v=zUQiUFZ5RDw
David Bowie,Lazarus,2015,2016,https://www.youtube.com/watch?v=y-JqH1M4Ya8
Frank Boeijen Groep,Kronenburg Park (Ga Die Wereld Uit),1985,2016,https://www.youtube.com/watch?v=SActcdcQeds&pp=0gcJCfwAo7VqN5tD
Dolly Parton,Jolene,1973,2016,https://www.youtube.com/watch?v=Ixrje2rXLMA
Joe Jackson,Be My Number Two,1984,2016,https://www.youtube.com/watch?v=NNn9pnytT7M
Bob Marley & The Wailers,Redemption Song,1980,2016,https://www.youtube.com/watch?v=yv5xonFSC4c
Rolling Stones,Brown Sugar,1971,2016,https://www.youtube.com/watch?v=Fmfi3UbDPnQ
Simon & Garfunkel,The Sounds Of Silence,1964,2016,https://www.youtube.com/watch?v=4fWyzwo1xg0&pp=0gcJCf8Ao7VqN5tD
Fleetwood Mac,Sara,1979,2016,https://www.youtube.com/watch?v=9bWGy0K5VF0&pp=0gcJCfwAo7VqN5tD
Rory Gallagher,A Million Miles Away,1973,2016,https://www.youtube.com/watch?v=B4X4rdyXIEw
10cc,Dreadlock Holiday,1978,2016,https://www.youtube.com/watch?v=fUNTk5xsxk4
Queens Of The Stone Age,No One Knows,2002,2016,https://www.youtube.com/watch?v=s88r_q7oufE
Nirvana,Where Did You Sleep Last Night (Unplugged),1994,2016,https://www.youtube.com/watch?v=hEMm7gxBYSc
Dire Straits,Tunnel Of Love,1980,2016,https://www.youtube.com/watch?v=gAirINwjaxE
Kevin Coyne,Sunday Morning Sunrise,1975,2016,https://www.youtube.com/watch?v=_PYpuwOO0gs
Jimi Hendrix Experience,The Wind Cries Mary,1967,2016,https://www.youtube.com/watch?v=1AyVXGHxHec
Jackson Browne,Running On Empty,1977,2016,https://www.youtube.com/watch?v=IKnnh8VDULs
Bob Dylan,Highway 61 Revisited,1965,2016,https://www.youtube.com/watch?v=8hr3Stnk8_k
Wilco,"Jesus, Etc.",2002,2016,https://www.youtube.com/watch?v=efq95Pfqt5U
Elvis Costello & The Attractions,Shipbuilding,1983,2016,https://www.youtube.com/watch?v=l_aLSsjZMr8
Jethro Tull,Aqualung,1971,2016,https://www.youtube.com/watch?v=N4zPu3ISCGs
Zesde Metaal,Ploegsteert,2012,2016,https://www.youtube.com/watch?v=sEzS-nzjqIE
John Hiatt,Have A Little Faith In Me,1987,2016,https://www.youtube.com/watch?v=7aYxMuLb3h8&pp=0gcJCfwAo7VqN5tD
Ramones,Blitzkrieg Bop,1976,2016,https://www.youtube.com/watch?v=268C3N2dDYk
dEUS,Hotellounge (Be The Death Of Me),1994,2016,https://www.youtube.com/watch?v=AoKB-v_GgEQ
Cranberries,Linger,1993,2016,https://www.youtube.com/watch?v=G6Kspj3OO0s
Van Morrison,Moondance,1970,2016,https://www.youtube.com/watch?v=6lFxGBB4UGU
Amy Winehouse,Rehab,2006,2016,https://www.youtube.com/watch?v=KUmZp8pR1uc
Elvis Presley,Don't Be Cruel,1956,2016,https://www.youtube.com/watch?v=N81IktPflsA&pp=0gcJCfwAo7VqN5tD
U2,Bad,1984,2016,https://www.youtube.com/watch?v=4oRGxL42cI8&pp=0gcJCf8Ao7VqN5tD
Beatles,I Am The Walrus,1967,2016,https://www.youtube.com/watch?v=Ws5klxbI87I
Michael Jackson,Thriller,1982,2016,https://www.youtube.com/watch?v=sOnqjkJTMaA
10cc,I'm Not In Love,1975,2016,https://www.youtube.com/watch?v=STugQ0X1NoI&pp=0gcJCfwAo7VqN5tD
David Bowie,Ziggy Stardust,1972,2016,https://www.youtube.com/watch?v=na8xgu-KLAk&pp=0gcJCdgAo7VqN5tD
